Visit date,Site identification,Species,Total Black oystercatcher adults
29/05/2008,1,Haematopus bachmani,6
29/05/2008,2,Haematopus bachmani,2
29/05/2008,3,Haematopus bachmani,4
27/05/2008,4,Haematopus bachmani,24
26/05/2008,5,Haematopus bachmani,10
30/05/2008,6,Haematopus bachmani,2
27/05/2008,7,Haematopus bachmani,2
26/05/2008,8,Haematopus bachmani,4
29/05/2008,9,Haematopus bachmani,2
27/05/2008,10,Haematopus bachmani,9
27/05/2008,11,Haematopus bachmani,4
29/05/2008,12,Haematopus bachmani,10
26/05/2008,13,Haematopus bachmani,2
27/05/2008,14,Haematopus bachmani,2
27/05/2008,15,Haematopus bachmani,24
29/05/2008,17,Haematopus bachmani,8
26/05/2008,18,Haematopus bachmani,4
26/05/2008,19,Haematopus bachmani,2
26/05/2008,20,Haematopus bachmani,14
26/05/2008,21,Haematopus bachmani,4
26/05/2008,22,Haematopus bachmani,12
26/05/2008,23,Haematopus bachmani,2
29/05/2008,24,Haematopus bachmani,15
02/06/2009,1,Haematopus bachmani,8
02/06/2009,2,Haematopus bachmani,2
02/06/2009,3,Haematopus bachmani,4
03/06/2009,4,Haematopus bachmani,35
04/06/2009,5,Haematopus bachmani,10
04/06/2009,6,Haematopus bachmani,2
03/06/2009,7,Haematopus bachmani,2
04/06/2009,8,Haematopus bachmani,12
02/06/2009,9,Haematopus bachmani,4
03/06/2009,10,Haematopus bachmani,2
03/06/2009,11,Haematopus bachmani,4
02/06/2009,12,Haematopus bachmani,10
04/06/2009,13,Haematopus bachmani,2
03/06/2009,14,Haematopus bachmani,4
01/06/2009,15,Haematopus bachmani,28
02/06/2009,17,Haematopus bachmani,6
04/06/2009,18,Haematopus bachmani,6
04/06/2009,19,Haematopus bachmani,2
04/06/2009,20,Haematopus bachmani,16
04/06/2009,21,Haematopus bachmani,6
04/06/2009,22,Haematopus bachmani,14
04/06/2009,23,Haematopus bachmani,2
01/06/2009,24,Haematopus bachmani,10
28/05/2010,1,Haematopus bachmani,8
28/05/2010,2,Haematopus bachmani,2
28/05/2010,3,Haematopus bachmani,4
26/05/2010,4,Haematopus bachmani,32
04/06/2010,5,Haematopus bachmani,10
02/06/2010,6,Haematopus bachmani,2
26/05/2010,7,Haematopus bachmani,2
04/06/2010,8,Haematopus bachmani,7
28/05/2010,9,Haematopus bachmani,3
26/05/2010,10,Haematopus bachmani,2
26/05/2010,11,Haematopus bachmani,2
28/05/2010,12,Haematopus bachmani,6
04/06/2010,13,Haematopus bachmani,2
26/05/2010,14,Haematopus bachmani,4
27/05/2010,15,Haematopus bachmani,26
27/05/2010,16,Haematopus bachmani,4
28/05/2010,17,Haematopus bachmani,7
04/06/2010,18,Haematopus bachmani,2
04/06/2010,19,Haematopus bachmani,4
04/06/2010,20,Haematopus bachmani,14
04/06/2010,21,Haematopus bachmani,4
04/06/2010,22,Haematopus bachmani,14
04/06/2010,23,Haematopus bachmani,2
27/05/2010,24,Haematopus bachmani,12
01/06/2011,1,Haematopus bachmani,6
01/06/2011,2,Haematopus bachmani,2
01/06/2011,3,Haematopus bachmani,6
31/05/2011,4,Haematopus bachmani,34
30/05/2011,5,Haematopus bachmani,14
24/05/2011,6,Haematopus bachmani,2
31/05/2011,7,Haematopus bachmani,2
30/05/2011,8,Haematopus bachmani,6
01/06/2011,9,Haematopus bachmani,2
31/05/2011,10,Haematopus bachmani,9
31/05/2011,11,Haematopus bachmani,4
01/06/2011,12,Haematopus bachmani,14
30/05/2011,13,Haematopus bachmani,2
31/05/2011,14,Haematopus bachmani,6
27/05/2011,15,Haematopus bachmani,26
01/06/2011,16,Haematopus bachmani,6
01/06/2011,17,Haematopus bachmani,10
30/05/2011,18,Haematopus bachmani,6
30/05/2011,19,Haematopus bachmani,5
30/05/2011,20,Haematopus bachmani,14
30/05/2011,21,Haematopus bachmani,6
30/05/2011,22,Haematopus bachmani,12
30/05/2011,23,Haematopus bachmani,2
01/06/2011,24,Haematopus bachmani,12
04/06/2012,1,Haematopus bachmani,8
04/06/2012,2,Haematopus bachmani,2
04/06/2012,3,Haematopus bachmani,7
06/06/2012,4,Haematopus bachmani,28
05/06/2012,5,Haematopus bachmani,16
24/05/2012,6,Haematopus bachmani,2
